KP CPP
1.605299999999995180e+02 6.963000000000000000e+03
1.605399999999995089e+02 4.132000000000000000e+03
1.605499999999994998e+02 2.509000000000000000e+03
1.605599999999994907e+02 3.295000000000000000e+03
1.605699999999994816e+02 5.010000000000000000e+03
1.605799999999994725e+02 5.147000000000000000e+03
1.605899999999994634e+02 2.225000000000000000e+03
1.605999999999994543e+02 6.152000000000000000e+03
1.606099999999994452e+02 3.383000000000000000e+03
1.606199999999994361e+02 2.680000000000000000e+03
1.606299999999994270e+02 6.491000000000000000e+03
1.606399999999994179e+02 2.745000000000000000e+03
1.606499999999994088e+02 5.957000000000000000e+03
1.606599999999993997e+02 3.922000000000000000e+03
1.606699999999993906e+02 6.790000000000000000e+03
1.606799999999993815e+02 2.548000000000000000e+03
1.606899999999993724e+02 6.236000000000000000e+03
1.606999999999993634e+02 3.239000000000000000e+03
1.607099999999993543e+02 2.712000000000000000e+03
1.607199999999993452e+02 6.232000000000000000e+03
1.607299999999993361e+02 5.052000000000000000e+03
1.607399999999993270e+02 1.250000000000000000e+03
1.607499999999993179e+02 2.460000000000000000e+03
1.607599999999993088e+02 6.320000000000000000e+03
1.607699999999992997e+02 6.305000000000000000e+03
1.607799999999992906e+02 4.126000000000000000e+03
1.607899999999992815e+02 1.098000000000000000e+03
1.607999999999992724e+02 5.886000000000000000e+03
1.608099999999992633e+02 2.785000000000000000e+03
1.608199999999992542e+02 3.042000000000000000e+03
1.608299999999992451e+02 3.885000000000000000e+03
1.608399999999992360e+02 1.250000000000000000e+03
1.608499999999992269e+02 3.931000000000000000e+03
1.608599999999992178e+02 2.813000000000000000e+03
1.608699999999992087e+02 6.664000000000000000e+03
1.608799999999991996e+02 5.200000000000000000e+03
1.608899999999991905e+02 6.981000000000000000e+03
1.608999999999991815e+02 3.022000000000000000e+03
1.609099999999991724e+02 6.041000000000000000e+03
1.609199999999991633e+02 3.155000000000000000e+03
1.609299999999991542e+02 1.983000000000000000e+03
1.609399999999991451e+02 2.692000000000000000e+03
1.609499999999991360e+02 3.596000000000000000e+03
1.609599999999991269e+02 3.799000000000000000e+03
1.609699999999991178e+02 5.441000000000000000e+03
1.609799999999991087e+02 4.064000000000000000e+03
1.609899999999990996e+02 6.731000000000000000e+03
1.609999999999990905e+02 4.977000000000000000e+03
1.610099999999990814e+02 1.804000000000000000e+03
1.610199999999990723e+02 5.961000000000000000e+03
1.610299999999990632e+02 2.129000000000000000e+03
1.610399999999990541e+02 1.206000000000000000e+03
1.610499999999990450e+02 1.809000000000000000e+03
1.610599999999990359e+02 3.878000000000000000e+03
1.610699999999990268e+02 6.928000000000000000e+03
1.610799999999990177e+02 1.523000000000000000e+03
1.610899999999990087e+02 3.650000000000000000e+03
1.610999999999989996e+02 1.962000000000000000e+03
1.611099999999989905e+02 3.114000000000000000e+03
1.611199999999989814e+02 6.686000000000000000e+03
1.611299999999989723e+02 3.572000000000000000e+03
1.611399999999989632e+02 3.049000000000000000e+03
1.611499999999989541e+02 4.518000000000000000e+03
1.611599999999989450e+02 5.251000000000000000e+03
1.611699999999989359e+02 3.253000000000000000e+03
1.611799999999989268e+02 5.887000000000000000e+03
1.611899999999989177e+02 5.546000000000000000e+03
1.611999999999989086e+02 2.413000000000000000e+03
1.612099999999988995e+02 2.187000000000000000e+03
1.612199999999988904e+02 5.299000000000000000e+03
1.612299999999988813e+02 4.915000000000000000e+03
1.612399999999988722e+02 5.176000000000000000e+03
1.612499999999988631e+02 6.527000000000000000e+03
1.612599999999988540e+02 2.394000000000000000e+03
1.612699999999988449e+02 1.967000000000000000e+03
1.612799999999988358e+02 6.581000000000000000e+03
1.612899999999988268e+02 2.102000000000000000e+03
1.612999999999988177e+02 6.294000000000000000e+03
1.613099999999988086e+02 2.466000000000000000e+03
1.613199999999987995e+02 1.016000000000000000e+03
1.613299999999987904e+02 2.645000000000000000e+03
1.613399999999987813e+02 1.206000000000000000e+03
1.613499999999987722e+02 5.033000000000000000e+03
1.613599999999987631e+02 6.463000000000000000e+03
1.613699999999987540e+02 2.272000000000000000e+03
1.613799999999987449e+02 4.381000000000000000e+03
1.613899999999987358e+02 1.409000000000000000e+03
1.613999999999987267e+02 5.167000000000000000e+03
1.614099999999987176e+02 5.934000000000000000e+03
1.614199999999987085e+02 4.132000000000000000e+03
1.614299999999986994e+02 4.497000000000000000e+03
1.614399999999986903e+02 3.955000000000000000e+03
1.614499999999986812e+02 2.182000000000000000e+03
1.614599999999986721e+02 1.658000000000000000e+03
1.614699999999986630e+02 4.660000000000000000e+03
1.614799999999986539e+02 2.017000000000000000e+03
1.614899999999986449e+02 3.108000000000000000e+03
1.614999999999986358e+02 2.475000000000000000e+03
1.615099999999986267e+02 5.062000000000000000e+03
1.615199999999986176e+02 6.891000000000000000e+03
1.615299999999986085e+02 2.968000000000000000e+03
1.615399999999985994e+02 3.895000000000000000e+03
1.615499999999985903e+02 2.872000000000000000e+03
1.615599999999985812e+02 3.267000000000000000e+03
1.615699999999985721e+02 5.252000000000000000e+03
1.615799999999985630e+02 3.720000000000000000e+03
1.615899999999985539e+02 1.689000000000000000e+03
1.615999999999985448e+02 1.955000000000000000e+03
1.616099999999985357e+02 5.988000000000000000e+03
1.616199999999985266e+02 6.587000000000000000e+03
1.616299999999985175e+02 2.097000000000000000e+03
1.616399999999985084e+02 4.920000000000000000e+03
1.616499999999984993e+02 1.156000000000000000e+03
1.616599999999984902e+02 2.852000000000000000e+03
1.616699999999984811e+02 2.830000000000000000e+03
1.616799999999984720e+02 4.231000000000000000e+03
1.616899999999984630e+02 5.980000000000000000e+03
1.616999999999984539e+02 1.961000000000000000e+03
1.617099999999984448e+02 3.216000000000000000e+03
1.617199999999984357e+02 1.523000000000000000e+03
1.617299999999984266e+02 3.517000000000000000e+03
1.617399999999984175e+02 6.616000000000000000e+03
1.617499999999984084e+02 3.316000000000000000e+03
1.617599999999983993e+02 3.544000000000000000e+03
1.617699999999983902e+02 2.915000000000000000e+03
1.617799999999983811e+02 4.425000000000000000e+03
1.617899999999983720e+02 3.137000000000000000e+03
1.617999999999983629e+02 6.032000000000000000e+03
1.618099999999983538e+02 5.097000000000000000e+03
1.618199999999983447e+02 3.541000000000000000e+03
1.618299999999983356e+02 2.962000000000000000e+03
1.618399999999983265e+02 3.408000000000000000e+03
1.618499999999983174e+02 4.936000000000000000e+03
1.618599999999983083e+02 5.589000000000000000e+03
1.618699999999982992e+02 2.765000000000000000e+03
1.618799999999982901e+02 2.104000000000000000e+03
1.618899999999982811e+02 5.348000000000000000e+03
1.618999999999982720e+02 5.021000000000000000e+03
1.619099999999982629e+02 1.827000000000000000e+03
1.619199999999982538e+02 2.740000000000000000e+03
1.619299999999982447e+02 5.975000000000000000e+03
1.619399999999982356e+02 3.596000000000000000e+03
1.619499999999982265e+02 2.022000000000000000e+03
1.619599999999982174e+02 5.387000000000000000e+03
1.619699999999982083e+02 2.502000000000000000e+03
1.619799999999981992e+02 2.238000000000000000e+03
1.619899999999981901e+02 1.475000000000000000e+03
1.619999999999981810e+02 4.355000000000000000e+03
1.620099999999981719e+02 4.996000000000000000e+03
1.620199999999981628e+02 4.162000000000000000e+03
1.620299999999981537e+02 3.050000000000000000e+03
1.620399999999981446e+02 5.348000000000000000e+03
1.620499999999981355e+02 4.452000000000000000e+03
1.620599999999981264e+02 6.897000000000000000e+03
1.620699999999981173e+02 4.109000000000000000e+03
1.620799999999981083e+02 1.130000000000000000e+03
1.620899999999980992e+02 2.779000000000000000e+03
1.620999999999980901e+02 4.886000000000000000e+03
1.621099999999980810e+02 3.964000000000000000e+03
1.621199999999980719e+02 3.647000000000000000e+03
1.621299999999980628e+02 6.884000000000000000e+03
1.621399999999980537e+02 4.308000000000000000e+03
1.621499999999980446e+02 5.654000000000000000e+03
1.621599999999980355e+02 4.070000000000000000e+03
1.621699999999980264e+02 3.539000000000000000e+03
1.621799999999980173e+02 3.059000000000000000e+03
1.621899999999980082e+02 3.357000000000000000e+03
1.621999999999979991e+02 2.046000000000000000e+03
1.622099999999979900e+02 6.299000000000000000e+03
1.622199999999979809e+02 4.596000000000000000e+03
1.622299999999979718e+02 3.842000000000000000e+03
1.622399999999979627e+02 4.339000000000000000e+03
1.622499999999979536e+02 6.282000000000000000e+03
1.622599999999979445e+02 6.753000000000000000e+03
1.622699999999979354e+02 5.703000000000000000e+03
1.622799999999979264e+02 3.216000000000000000e+03
1.622899999999979173e+02 6.602000000000000000e+03
1.622999999999979082e+02 4.972000000000000000e+03
1.623099999999978991e+02 2.187000000000000000e+03
1.623199999999978900e+02 4.265000000000000000e+03
1.623299999999978809e+02 2.091000000000000000e+03
1.623399999999978718e+02 6.450000000000000000e+03
1.623499999999978627e+02 2.839000000000000000e+03
1.623599999999978536e+02 2.379000000000000000e+03
1.623699999999978445e+02 6.009000000000000000e+03
1.623799999999978354e+02 6.879000000000000000e+03
1.623899999999978263e+02 6.501000000000000000e+03
1.623999999999978172e+02 1.194000000000000000e+03
1.624099999999978081e+02 2.831000000000000000e+03
1.624199999999977990e+02 4.757000000000000000e+03
1.624299999999977899e+02 5.206000000000000000e+03
1.624399999999977808e+02 3.973000000000000000e+03
1.624499999999977717e+02 4.226000000000000000e+03
1.624599999999977626e+02 1.077000000000000000e+03
1.624699999999977535e+02 5.419000000000000000e+03
1.624799999999977445e+02 6.827000000000000000e+03
1.624899999999977354e+02 4.798000000000000000e+03
1.624999999999977263e+02 6.668000000000000000e+03
1.625099999999977172e+02 3.450000000000000000e+03
1.625199999999977081e+02 1.912000000000000000e+03
1.625299999999976990e+02 2.926000000000000000e+03
1.625399999999976899e+02 1.021000000000000000e+03
1.625499999999976808e+02 1.023000000000000000e+03
1.625599999999976717e+02 3.132000000000000000e+03
1.625699999999976626e+02 6.375000000000000000e+03
1.625799999999976535e+02 4.084000000000000000e+03
1.625899999999976444e+02 5.056000000000000000e+03
1.625999999999976353e+02 5.574000000000000000e+03
1.626099999999976262e+02 3.137000000000000000e+03
1.626199999999976171e+02 6.520000000000000000e+03
1.626299999999976080e+02 5.624000000000000000e+03
1.626399999999975989e+02 2.740000000000000000e+03
1.626499999999975898e+02 4.307000000000000000e+03
1.626599999999975807e+02 2.573000000000000000e+03
1.626699999999975716e+02 3.277000000000000000e+03
1.626799999999975626e+02 6.756000000000000000e+03
1.626899999999975535e+02 2.731000000000000000e+03
1.626999999999975444e+02 4.103000000000000000e+03
1.627099999999975353e+02 4.329000000000000000e+03
1.627199999999975262e+02 4.521000000000000000e+03
1.627299999999975171e+02 2.579000000000000000e+03
1.627399999999975080e+02 1.494000000000000000e+03
1.627499999999974989e+02 3.497000000000000000e+03
1.627599999999974898e+02 3.629000000000000000e+03
1.627699999999974807e+02 3.592000000000000000e+03
1.627799999999974716e+02 5.085000000000000000e+03
1.627899999999974625e+02 5.944000000000000000e+03
1.627999999999974534e+02 1.946000000000000000e+03
1.628099999999974443e+02 5.895000000000000000e+03
1.628199999999974352e+02 4.419000000000000000e+03
1.628299999999974261e+02 4.770000000000000000e+03
1.628399999999974170e+02 6.620000000000000000e+03
1.628499999999974079e+02 5.612000000000000000e+03
1.628599999999973988e+02 6.412000000000000000e+03
1.628699999999973898e+02 1.654000000000000000e+03
1.628799999999973807e+02 1.540000000000000000e+03
1.628899999999973716e+02 2.427000000000000000e+03
1.628999999999973625e+02 5.430000000000000000e+03
1.629099999999973534e+02 1.088000000000000000e+03
1.629199999999973443e+02 6.302000000000000000e+03
1.629299999999973352e+02 4.626000000000000000e+03
1.629399999999973261e+02 3.867000000000000000e+03
1.629499999999973170e+02 3.139000000000000000e+03
1.629599999999973079e+02 2.971000000000000000e+03
1.629699999999972988e+02 5.586000000000000000e+03
1.629799999999972897e+02 4.475000000000000000e+03
1.629899999999972806e+02 6.466000000000000000e+03
1.629999999999972715e+02 3.028000000000000000e+03
1.630099999999972624e+02 6.819000000000000000e+03
1.630199999999972533e+02 5.323000000000000000e+03
1.630299999999972442e+02 2.741000000000000000e+03
1.630399999999972351e+02 2.919000000000000000e+03
1.630499999999972260e+02 1.669000000000000000e+03
1.630599999999972169e+02 2.570000000000000000e+03
1.630699999999972079e+02 5.824000000000000000e+03
1.630799999999971988e+02 4.431000000000000000e+03
1.630899999999971897e+02 4.128000000000000000e+03
1.630999999999971806e+02 4.267000000000000000e+03
1.631099999999971715e+02 6.279000000000000000e+03
1.631199999999971624e+02 6.875000000000000000e+03
1.631299999999971533e+02 2.714000000000000000e+03
1.631399999999971442e+02 4.867000000000000000e+03
1.631499999999971351e+02 2.940000000000000000e+03
1.631599999999971260e+02 6.558000000000000000e+03
1.631699999999971169e+02 1.435000000000000000e+03
1.631799999999971078e+02 2.703000000000000000e+03
1.631899999999970987e+02 3.323000000000000000e+03
1.631999999999970896e+02 1.809000000000000000e+03
1.632099999999970805e+02 3.915000000000000000e+03
1.632199999999970714e+02 4.070000000000000000e+03
1.632299999999970623e+02 4.387000000000000000e+03
1.632399999999970532e+02 1.710000000000000000e+03
1.632499999999970441e+02 1.859000000000000000e+03
1.632599999999970350e+02 5.247000000000000000e+03
1.632699999999970260e+02 3.097000000000000000e+03
1.632799999999970169e+02 1.776000000000000000e+03
1.632899999999970078e+02 6.930000000000000000e+03
1.632999999999969987e+02 6.680000000000000000e+03
1.633099999999969896e+02 6.671000000000000000e+03
1.633199999999969805e+02 6.723000000000000000e+03
1.633299999999969714e+02 1.820000000000000000e+03
1.633399999999969623e+02 3.969000000000000000e+03
1.633499999999969532e+02 5.947000000000000000e+03
1.633599999999969441e+02 3.634000000000000000e+03
1.633699999999969350e+02 3.152000000000000000e+03
1.633799999999969259e+02 5.946000000000000000e+03
1.633899999999969168e+02 5.041000000000000000e+03
1.633999999999969077e+02 6.660000000000000000e+03
1.634099999999968986e+02 6.031000000000000000e+03
1.634199999999968895e+02 6.268000000000000000e+03
1.634299999999968804e+02 5.635000000000000000e+03
1.634399999999968713e+02 1.327000000000000000e+03
1.634499999999968622e+02 1.374000000000000000e+03
1.634599999999968531e+02 4.636000000000000000e+03
1.634699999999968441e+02 5.908000000000000000e+03
1.634799999999968350e+02 6.566000000000000000e+03
1.634899999999968259e+02 2.258000000000000000e+03
1.634999999999968168e+02 6.260000000000000000e+03
1.635099999999968077e+02 1.095000000000000000e+03
1.635199999999967986e+02 6.283000000000000000e+03
1.635299999999967895e+02 5.537000000000000000e+03
1.635399999999967804e+02 2.628000000000000000e+03
1.635499999999967713e+02 4.697000000000000000e+03
1.635599999999967622e+02 6.136000000000000000e+03
1.635699999999967531e+02 3.255000000000000000e+03
1.635799999999967440e+02 1.918000000000000000e+03
1.635899999999967349e+02 2.166000000000000000e+03
1.635999999999967258e+02 1.566000000000000000e+03
1.636099999999967167e+02 4.442000000000000000e+03
1.636199999999967076e+02 2.751000000000000000e+03
1.636299999999966985e+02 5.289000000000000000e+03
1.636399999999966894e+02 5.440000000000000000e+03
1.636499999999966803e+02 5.780000000000000000e+03
1.636599999999966712e+02 1.724000000000000000e+03
1.636699999999966622e+02 5.823000000000000000e+03
1.636799999999966531e+02 1.296000000000000000e+03
1.636899999999966440e+02 4.827000000000000000e+03
1.636999999999966349e+02 4.701000000000000000e+03
1.637099999999966258e+02 2.523000000000000000e+03
1.637199999999966167e+02 3.149000000000000000e+03
1.637299999999966076e+02 3.780000000000000000e+03
1.637399999999965985e+02 3.528000000000000000e+03
1.637499999999965894e+02 1.310000000000000000e+03
1.637599999999965803e+02 1.761000000000000000e+03
1.637699999999965712e+02 6.765000000000000000e+03
1.637799999999965621e+02 6.114000000000000000e+03
1.637899999999965530e+02 2.192000000000000000e+03
1.637999999999965439e+02 3.734000000000000000e+03
1.638099999999965348e+02 1.032000000000000000e+03
1.638199999999965257e+02 2.926000000000000000e+03
1.638299999999965166e+02 4.054000000000000000e+03
1.638399999999965075e+02 3.920000000000000000e+03
1.638499999999964984e+02 5.288000000000000000e+03
1.638599999999964894e+02 5.389000000000000000e+03
1.638699999999964803e+02 5.042000000000000000e+03
1.638799999999964712e+02 3.006000000000000000e+03
1.638899999999964621e+02 4.756000000000000000e+03
1.638999999999964530e+02 4.758000000000000000e+03
1.639099999999964439e+02 3.372000000000000000e+03
1.639199999999964348e+02 3.374000000000000000e+03
1.639299999999964257e+02 1.815000000000000000e+03
1.639399999999964166e+02 6.833000000000000000e+03
1.639499999999964075e+02 5.491000000000000000e+03
1.639599999999963984e+02 3.322000000000000000e+03
1.639699999999963893e+02 4.543000000000000000e+03
1.639799999999963802e+02 1.343000000000000000e+03
1.639899999999963711e+02 5.953000000000000000e+03
1.639999999999963620e+02 3.080000000000000000e+03
1.640099999999963529e+02 5.765000000000000000e+03
1.640199999999963438e+02 6.016000000000000000e+03
1.640299999999963347e+02 5.754000000000000000e+03
1.640399999999963256e+02 6.488000000000000000e+03
1.640499999999963165e+02 6.914000000000000000e+03
1.640599999999963075e+02 6.598000000000000000e+03
1.640699999999962984e+02 1.012000000000000000e+03
1.640799999999962893e+02 1.068000000000000000e+03
1.640899999999962802e+02 4.504000000000000000e+03
1.640999999999962711e+02 6.834000000000000000e+03
1.641099999999962620e+02 2.486000000000000000e+03
1.641199999999962529e+02 1.224000000000000000e+03
1.641299999999962438e+02 3.442000000000000000e+03
1.641399999999962347e+02 2.811000000000000000e+03
1.641499999999962256e+02 3.328000000000000000e+03
1.641599999999962165e+02 4.597000000000000000e+03
1.641699999999962074e+02 2.294000000000000000e+03
1.641799999999961983e+02 4.199000000000000000e+03
1.641899999999961892e+02 2.919000000000000000e+03
1.641999999999961801e+02 2.433000000000000000e+03
1.642099999999961710e+02 2.339000000000000000e+03
1.642199999999961619e+02 5.013000000000000000e+03
1.642299999999961528e+02 6.038000000000000000e+03
1.642399999999961437e+02 6.747000000000000000e+03
1.642499999999961346e+02 6.408000000000000000e+03
1.642599999999961256e+02 1.734000000000000000e+03
1.642699999999961165e+02 1.864000000000000000e+03
1.642799999999961074e+02 3.880000000000000000e+03
1.642899999999960983e+02 5.740000000000000000e+03
1.642999999999960892e+02 4.292000000000000000e+03
1.643099999999960801e+02 5.789000000000000000e+03
1.643199999999960710e+02 5.411000000000000000e+03
1.643299999999960619e+02 3.139000000000000000e+03
1.643399999999960528e+02 5.949000000000000000e+03
1.643499999999960437e+02 6.911000000000000000e+03
1.643599999999960346e+02 3.254000000000000000e+03
1.643699999999960255e+02 4.353000000000000000e+03
1.643799999999960164e+02 2.579000000000000000e+03
1.643899999999960073e+02 5.757000000000000000e+03
1.643999999999959982e+02 1.612000000000000000e+03
1.644099999999959891e+02 4.957000000000000000e+03
1.644199999999959800e+02 3.830000000000000000e+03
1.644299999999959709e+02 6.473000000000000000e+03
1.644399999999959618e+02 5.644000000000000000e+03
1.644499999999959527e+02 6.750000000000000000e+03
1.644599999999959437e+02 1.430000000000000000e+03
1.644699999999959346e+02 3.069000000000000000e+03
1.644799999999959255e+02 3.011000000000000000e+03
1.644899999999959164e+02 4.606000000000000000e+03
1.644999999999959073e+02 5.717000000000000000e+03
1.645099999999958982e+02 5.995000000000000000e+03
1.645199999999958891e+02 3.847000000000000000e+03
1.645299999999958800e+02 5.391000000000000000e+03
1.645399999999958709e+02 1.850000000000000000e+03
1.645499999999958618e+02 4.408000000000000000e+03
1.645599999999958527e+02 3.366000000000000000e+03
1.645699999999958436e+02 1.472000000000000000e+03
1.645799999999958345e+02 2.424000000000000000e+03
1.645899999999958254e+02 5.636000000000000000e+03
1.645999999999958163e+02 1.934000000000000000e+03
1.646099999999958072e+02 5.320000000000000000e+03
1.646199999999957981e+02 1.251000000000000000e+03
1.646299999999957890e+02 5.831000000000000000e+03
1.646399999999957799e+02 2.097000000000000000e+03
1.646499999999957708e+02 3.288000000000000000e+03
1.646599999999957618e+02 6.599000000000000000e+03
1.646699999999957527e+02 4.116000000000000000e+03
1.646799999999957436e+02 2.375000000000000000e+03
1.646899999999957345e+02 6.899000000000000000e+03
1.646999999999957254e+02 5.351000000000000000e+03
1.647099999999957163e+02 3.777000000000000000e+03
1.647199999999957072e+02 1.004000000000000000e+03
1.647299999999956981e+02 4.112000000000000000e+03
1.647399999999956890e+02 1.247000000000000000e+03
1.647499999999956799e+02 1.152000000000000000e+03
1.647599999999956708e+02 4.099000000000000000e+03
1.647699999999956617e+02 4.424000000000000000e+03
1.647799999999956526e+02 2.208000000000000000e+03
1.647899999999956435e+02 3.409000000000000000e+03
1.647999999999956344e+02 4.653000000000000000e+03
1.648099999999956253e+02 4.289000000000000000e+03
1.648199999999956162e+02 1.530000000000000000e+03
1.648299999999956071e+02 3.166000000000000000e+03
1.648399999999955980e+02 4.028000000000000000e+03
1.648499999999955890e+02 3.997000000000000000e+03
1.648599999999955799e+02 1.432000000000000000e+03
1.648699999999955708e+02 2.946000000000000000e+03
1.648799999999955617e+02 6.183000000000000000e+03
1.648899999999955526e+02 2.213000000000000000e+03
1.648999999999955435e+02 2.645000000000000000e+03
1.649099999999955344e+02 3.023000000000000000e+03
1.649199999999955253e+02 1.842000000000000000e+03
1.649299999999955162e+02 3.847000000000000000e+03
1.649399999999955071e+02 1.315000000000000000e+03
1.649499999999954980e+02 3.087000000000000000e+03
1.649599999999954889e+02 3.586000000000000000e+03
1.649699999999954798e+02 4.523000000000000000e+03
1.649799999999954707e+02 1.080000000000000000e+03
1.649899999999954616e+02 5.874000000000000000e+03
1.649999999999954525e+02 1.380000000000000000e+03
1.650099999999954434e+02 5.697000000000000000e+03
1.650199999999954343e+02 3.724000000000000000e+03
1.650299999999954252e+02 1.060000000000000000e+03
1.650399999999954161e+02 6.554000000000000000e+03
1.650499999999954071e+02 6.375000000000000000e+03
1.650599999999953980e+02 4.842000000000000000e+03
1.650699999999953889e+02 6.920000000000000000e+03
1.650799999999953798e+02 2.344000000000000000e+03
1.650899999999953707e+02 5.339000000000000000e+03
1.650999999999953616e+02 1.352000000000000000e+03
1.651099999999953525e+02 2.164000000000000000e+03
1.651199999999953434e+02 3.644000000000000000e+03
1.651299999999953343e+02 6.159000000000000000e+03
1.651399999999953252e+02 4.751000000000000000e+03
1.651499999999953161e+02 6.056000000000000000e+03
1.651599999999953070e+02 6.573000000000000000e+03
1.651699999999952979e+02 2.138000000000000000e+03
1.651799999999952888e+02 4.535000000000000000e+03
1.651899999999952797e+02 4.872000000000000000e+03
1.651999999999952706e+02 3.152000000000000000e+03
1.652099999999952615e+02 4.839000000000000000e+03
1.652199999999952524e+02 6.645000000000000000e+03
1.652299999999952433e+02 5.040000000000000000e+03
1.652399999999952342e+02 1.521000000000000000e+03
1.652499999999952252e+02 6.384000000000000000e+03
1.652599999999952161e+02 2.727000000000000000e+03
1.652699999999952070e+02 3.263000000000000000e+03
1.652799999999951979e+02 1.686000000000000000e+03
1.652899999999951888e+02 5.324000000000000000e+03
1.652999999999951797e+02 4.171000000000000000e+03
1.653099999999951706e+02 4.581000000000000000e+03
1.653199999999951615e+02 3.119000000000000000e+03
1.653299999999951524e+02 3.047000000000000000e+03
1.653399999999951433e+02 1.306000000000000000e+03
1.653499999999951342e+02 6.607000000000000000e+03
1.653599999999951251e+02 6.681000000000000000e+03
1.653699999999951160e+02 1.686000000000000000e+03
1.653799999999951069e+02 6.338000000000000000e+03
1.653899999999950978e+02 1.758000000000000000e+03
1.653999999999950887e+02 6.101000000000000000e+03
1.654099999999950796e+02 2.907000000000000000e+03
1.654199999999950705e+02 2.423000000000000000e+03
1.654299999999950614e+02 5.351000000000000000e+03
1.654399999999950523e+02 5.526000000000000000e+03
1.654499999999950433e+02 2.800000000000000000e+03
1.654599999999950342e+02 3.087000000000000000e+03
1.654699999999950251e+02 6.623000000000000000e+03
1.654799999999950160e+02 6.937000000000000000e+03
1.654899999999950069e+02 1.998000000000000000e+03
1.654999999999949978e+02 6.923000000000000000e+03
1.655099999999949887e+02 6.024000000000000000e+03
1.655199999999949796e+02 1.316000000000000000e+03
1.655299999999949705e+02 1.147000000000000000e+03
1.655399999999949614e+02 5.917000000000000000e+03
1.655499999999949523e+02 5.500000000000000000e+03
1.655599999999949432e+02 4.306000000000000000e+03
1.655699999999949341e+02 4.913000000000000000e+03
1.655799999999949250e+02 6.208000000000000000e+03
1.655899999999949159e+02 3.394000000000000000e+03
1.655999999999949068e+02 6.390000000000000000e+03
1.656099999999948977e+02 3.444000000000000000e+03
1.656199999999948886e+02 1.265000000000000000e+03
1.656299999999948795e+02 2.459000000000000000e+03
1.656399999999948704e+02 1.750000000000000000e+03
1.656499999999948614e+02 1.032000000000000000e+03
1.656599999999948523e+02 3.885000000000000000e+03
1.656699999999948432e+02 2.933000000000000000e+03
1.656799999999948341e+02 3.993000000000000000e+03
1.656899999999948250e+02 6.902000000000000000e+03
1.656999999999948159e+02 6.258000000000000000e+03
1.657099999999948068e+02 5.061000000000000000e+03
1.657199999999947977e+02 6.944000000000000000e+03
1.657299999999947886e+02 3.909000000000000000e+03
1.657399999999947795e+02 5.712000000000000000e+03
1.657499999999947704e+02 5.413000000000000000e+03
1.657599999999947613e+02 1.421000000000000000e+03
1.657699999999947522e+02 6.669000000000000000e+03
1.657799999999947431e+02 2.762000000000000000e+03
1.657899999999947340e+02 1.726000000000000000e+03
1.657999999999947249e+02 5.879000000000000000e+03
1.658099999999947158e+02 4.852000000000000000e+03
